,A3TV,ABE,ABG,ABG.P_0,ABG.P_1,ACS,ACX,ACX_0,AENA,AGS,ALT,AMS,ANA,ANA_0,BBVA,BKIA,BKIA_0,BKT,BME,BTO_0,BTO_1,CABK,CAR,CIE,CIN,CLNX,COL,COL_0,CRI,DIA,EBRO_0,EBRO_1,ELE,ELE_0,ENC,ENG,EVA,FAD,FCC,FER,GRF,IAG,IBE,IBLA,IBR,IDR,ITX,JAZ,LOR,MAP,MAP_0,MAS,MEL,MRL,MTS,NHH_0,NHH_1,NTGY,OHL,POP,PRS_1,REE,REE_0,REP,SAB,SAN,SCYR_0,SCYR_1,SGC,SGRE,SGRE_0,TEF,TEM,TL5,TRE,UNF,VIS,VIS_0,ZEL
2007-01-11,-0.6339549780212977,0.25323183426220064,,,,-0.5745834774529963,,-0.40559491509682305,,,0.4967917232160931,,,-0.0019070774515224979,0.2196719435258737,,,0.05528310648842044,,,1.4006235510451606,,,,-0.8461144549775693,,,,,,,,,0.7882940874210795,,-1.4271610795475762,,0.5325039231487037,0.1555868018778373,-0.8465201584272609,,,-0.5647168116631813,1.52694016178086,,0.11547405086005451,0.5475675833696515,,,0.9570422859978137,,,,,,,-0.05871325751405222,-0.802490107474755,,1.2603919302250266,,-1.3690455294265624,,-1.8761827280766246,2.483935229128016,0.22710413957133205,,-0.825735577369555,0.641358115081857,,-0.24225371806024132,0.9600501589697348,,-0.007733042094301507,,-2.1391437133153945,,,
2007-01-12,-0.8062695966193405,0.2980285122792874,,,,-0.5026423545611337,,-0.3694770153014054,,,0.2788210778701447,,,-0.3054805964776125,0.3622655969716554,,,0.08489179717353028,,,1.6402772563780688,,,,-0.6963865562737486,,,,,,,,,0.3470104787152187,,-1.4911780278627742,,0.006913818830655304,0.24084474035148715,-0.7245091581880321,,,-0.45886641688757435,1.4938105610028931,,-0.17088451410583,0.2904317644616959,,,0.89895729120284,,,,,,,0.14791509842270062,-0.910680314588674,,1.4067805529979824,,-1.4364061474428669,,-2.0899412359051555,2.661736087150748,0.3381011229740193,,-0.794413928689319,0.5390106199049793,,-0.036512487426532875,1.1752591146433637,,0.10586596810208895,,-1.5232731091033567,,,
2007-01-15,-0.5256330003767045,-0.008859822127836254,,,,-0.8202669069908327,,-0.37757891429082735,,,0.3856314326410015,,,-0.41068152545630277,0.5861010854542746,,,0.10937259751130222,,,1.8055726219791342,,,,-0.7491979983742808,,,,,,,,,0.4354001281625581,,-1.3014441328193782,,-0.11564329523598017,0.2747779638141771,-0.7679414891140226,,,-0.9280533490742537,1.3968640667788814,,-0.08667936955507184,0.31292614878016894,,,0.8761692227874924,,,,,,,0.028491399052274644,-0.9362017125711447,,1.5499012262456657,,-1.3057078544635001,,-1.814951300682307,2.745866358749288,0.18024680090341932,,-1.1519639625694853,0.4997337873429798,,0.021956124305805153,1.1457940427325302,,0.1326276837599808,,-1.1866280572990047,,,
2007-01-16,-0.8083697929152192,-0.011004961095163274,,,,-0.5985919481760807,,-0.6410878372462422,,,0.4713419295139981,,,0.17018122030543684,0.31593309198832153,,,0.1681272530472535,,,1.7327227838473351,,,,-0.814031312504301,,,,,,,,,0.8390801994035144,,-1.2713775610103744,,0.01807272764050551,0.16664163007873042,-0.80377694520142,,,-1.0059765996037524,1.1925505972214387,,0.02502933525951083,0.3714841432978606,,,0.9380043494958177,,,,,,,0.19542799166328445,-0.9360628621023668,,1.735911749855423,,-1.4101003024221772,,-1.8497325422176059,2.440623985011096,0.23997664476979297,,-1.1249383173050742,0.5923015098097311,,0.018878977178554805,1.2059927245548863,,-0.3121354984890883,,-1.2510963636536288,,,
2007-01-17,-0.8385252182957885,0.10494010878620055,,,,-0.30345968919613,,-0.5578615047370354,,,0.4383758710343087,,,0.7689096927218055,0.27767599756721845,,,0.13889320688456608,,,1.614713304382404,,,,-0.6685741538328318,,,,,,,,,0.7483637421142,,-1.5585321931816978,,-0.22347445145525668,0.16297889038227448,-0.7122491712002955,,,-0.8978582480822214,1.2436534113093836,,0.498115632465325,0.5380587109414883,,,0.6528241250305357,,,,,,,0.11440981283466073,-0.7341160322910916,,1.5291728563866172,,-1.8109458687956732,,-1.9205858364285329,2.3970939390381476,0.2831183646304383,,-1.2088334968996102,0.43483058661947405,,0.18094082016510404,0.976723595283105,,-0.4192291520911059,,-1.2495476520899853,,,
2007-01-18,-0.5479608572817402,-0.17440612351021786,,,,-0.2828933182321658,,-0.6735440695075022,,,0.5810772923458563,,,0.7815039261656984,0.40063884810623407,,,0.35231049369660233,,,1.712009442235605,,,,-0.568006991008214,,,,,,,,,1.0116496306836076,,-1.44468883441688,,-0.07809525439712785,0.06476558536077075,-0.5979257529281118,,,-1.1080010080725036,1.5070201438362265,,0.07678652862823801,0.648675842610932,,,0.8939241606648348,,,,,,,0.2621218087111958,-1.040696042868712,,0.9173761110010903,,-1.6922483117167246,,-1.8232026427924979,2.2908511278750554,0.13404901040258702,,-1.2127425886588645,0.5103403900862261,,0.2763008752160842,0.9176825257408294,,-0.768506882475637,,-1.3261650655007784,,,
2007-01-19,-0.5034599989757265,-0.09938723422398005,,,,-0.2367908046877277,,-0.5685850024342507,,,0.5949365064537957,,,0.8504720527557643,0.5875236125898777,,,0.24861825674854998,,,1.6805871834028139,,,,-0.5164879152678851,,,,,,,,,0.7635933663555025,,-1.3531829982242138,,0.21353622658361626,-0.042061798235184696,-0.518110499850492,,,-1.3730663405179877,1.5399157246115087,,0.020157689987526223,0.660418920999542,,,0.8507536304542987,,,,,,,0.3865136235207434,-1.2194545495411215,,0.9307250438589815,,-1.6659736389430713,,-2.065146855606208,2.285298829184046,-0.01885436368634518,,-0.2676135300582328,0.3611455596299204,,-0.006058856073253762,0.8769075506305815,,-1.0856549402044968,,-1.311214451236892,,,
2007-01-22,-0.6871762557299049,-0.18039567874713117,,,,-0.24940094859836098,,-0.5854841508689038,,,0.3967188265231632,,,1.09467781698658,0.4768823039597165,,,0.17360893154026305,,,1.8652035200837112,,,,-0.6018359032556466,,,,,,,,,0.8923250922583928,,-1.3287275914799452,,0.5073428241890101,-0.07753232982653302,-0.5884642065692228,,,-1.1541663401946358,1.2425694132352552,,0.040435652532625654,0.6498047294969893,,,0.7981878671916178,,,,,,,0.6506320827352581,-1.1178852282751146,,0.9883113218447681,,-1.551433293654894,,-2.211727380208901,2.161555039050775,-0.0009597741620413055,,-0.4024579973214768,0.33647656698932366,,0.2465127215252385,0.6988712254926135,,-1.220979511478812,,-1.2614893452637774,,,
2007-01-23,-0.866454575998188,-0.15220336611751448,,,,-0.29388724571538294,,-0.5659240868344959,,,-0.28542689532361976,,,0.8491016951366979,0.6326914730006372,,,0.025442983662120194,,,1.9679648399187426,,,,-0.5590676960861322,,,,,,,,,1.1832145522932052,,-1.193375092399874,,0.5622295981964543,-0.04306498918035385,-0.5730649696762191,,,-0.9620177630255589,1.3361369741303886,,-0.11611567574425574,0.6071343334712369,,,0.767241904806771,,,,,,,0.8471321256611097,-1.373458143080204,,0.9889842757214016,,-1.3692599135088108,,-2.1714712228212103,2.0921098191134053,0.058637295188478225,,-0.44726054223247713,0.6601024939575565,,0.3636163361364994,0.3797248658467444,,-1.3389255564102083,,-1.0104878320869426,,,
2007-01-24,-1.1460619397754321,-0.22126861809976145,,,,-0.4848057300024568,,-0.3157795806632863,,,-0.6188423225584422,,,0.9367018390888584,0.738354250407644,,,0.15270401152039237,,,2.122588312184091,,,,-0.5312771675500704,,,,,,,,,1.3383507895721771,,-1.3702358520697198,,0.4386840427322232,-0.13133387435016497,-0.5359962738781556,,,-0.5874484638357156,0.9781392626077041,,-0.1762099562724993,0.2824433063244565,,,0.680101938354203,,,,,,,1.144565103909764,-1.1868020088302098,,0.9220334885697025,,-1.5173368805793241,,-1.9042808543040959,2.020392944855656,0.27814053518780374,,-0.6615942793473727,0.8457513650381157,,0.35457216257604346,0.3951859303233223,,-1.2719516763350627,,-0.9674838048003854,,,
2007-01-25,-1.6016769248909002,-0.5019911682265811,,,,-0.5896765026426201,,-0.667226026437573,,,-0.3639178032968715,,,1.1222462511526101,0.6954528660858195,,,0.3044939090996911,,,1.8872823168160278,,,,-0.5309870023637467,,,,,,,,,1.467967166799344,,-1.3008724656947745,,0.8865222815597685,-0.42413286811062806,-0.5445457274155263,,,-0.891564359729728,0.9552004620598489,,0.010618378377014168,0.40979803394816133,,,0.911738886152896,,,,,,,1.2222456240361905,-0.7615828855660058,,1.054458869463971,,-1.3780166532741565,,-1.8125227345246158,1.9296718708047709,0.1327804750693597,,-0.7780460773670449,0.3912880198598108,,0.20129220576432538,0.38148892860266354,,-1.0726848409225627,,-0.7451025051889394,,,
2007-01-26,-1.5207595687923399,-0.7894683084225973,,,,-0.7497228605654943,,-0.6886386861896522,,,0.11985694166408237,,,0.9810019239523495,0.5192534957068903,,,0.1976189297336308,,,2.1525800835404905,,,,-0.6284992163509392,,,,,,,,,1.4324434375140795,,-1.2696352573085568,,1.193284715289533,-0.3931014130348122,-0.6402436525049141,,,-0.8632643066643995,0.8732108945726726,,0.006570835593892186,0.16411054628214256,,,0.8139471470714499,,,,,,,1.1395201602331635,-0.28002999014596786,,1.1594172406350438,,-1.3117879194157518,,-1.8298471355641266,1.8321916633712247,0.05182534541957488,,-0.8785744970763244,0.5634884784942331,,-0.12729952051509308,0.3273730606342816,,-1.1590074761330686,,-0.39781509102469803,,,
2007-01-29,-1.5239393115305295,-1.3125230891583908,,,,-0.492195228148637,,-0.8008155191961116,,,0.2439354545589467,,,1.0185825311280734,0.5106050245301786,,,0.38620180198853193,,,2.191228490713996,,,,-0.6740924078128768,,,,,,,,,1.5465282326931076,,-1.2729107018466648,,0.9667194098078545,-0.4496090590234814,-0.7001729735706077,,,-0.20461588648419204,1.078271607568831,,-0.08771623146547004,-0.05750242004214528,,,0.7666789657723383,,,,,,,1.0461074656418847,-0.28076900341106353,,1.1793782081148583,,-1.2285881201312356,,-1.8824550919053666,1.707969778782716,0.11191421550197199,,-0.6493587263481804,0.3712091070841005,,-0.05034335414506634,0.24612450963376786,,-1.2021101993756196,,-0.5017374799255193,,,
2007-01-30,-1.2388128066422817,-1.5776430470034557,,,,-0.6008633537180841,,-0.8543834827638098,,,0.35052873619585734,,,1.029739060967414,0.6848120117422459,,,0.3199938101783302,,,2.333938379233232,,,,-0.6223352742023207,,,,,,,,,1.614896169757105,,-1.3890962875733792,,1.0152755770858737,-0.40052467581998297,-0.6529634707959362,,,-0.08015742635470641,1.1352496473369518,,0.06838549972457143,0.1359130520537335,,,0.7605300959478355,,,,,,,0.9931291302762149,-0.38681573554606374,,1.0328970137585514,,-1.3357957090232084,,-1.6032829497784806,1.5713447439595067,0.10088551426676459,,-0.6123703807891774,-0.005800583196563767,,-0.15369189331491526,0.07000160642958307,,-1.2720807683566597,,-0.43090220403474444,,,
2007-01-31,-1.796595680394052,-1.1029717076896766,,,,-0.6900091223314088,,-0.7131789411980376,,,0.18116037276995847,,,1.0871352961565919,0.30019157020796294,,,0.268295636738894,,,2.518115222498974,,,,-0.7313808183632511,,,,,,,,,1.5978832625159478,,-1.373587243854818,,1.175921695512785,-0.3615639509655025,-0.7182280643323263,,,-0.4016032370013376,1.1646519757916807,,0.03768106579280511,0.37829195970269647,,,0.768110511119943,,,,,,,0.8055928163132562,-0.449199317549429,,1.1173763858741592,,-1.1648884652008942,,-1.4852609022970005,1.3538623156942848,0.13656604790319554,,-0.5923324794624705,0.16454035578446652,,-0.07511008581745655,0.34933383595824097,,-1.029625105230815,,-0.719175204647365,,,
2007-02-01,-1.605316914395173,-1.0382291830113595,,,,-0.6794171177533525,,-1.0776187401655382,,,-0.05532166185071306,,,0.8606887296267346,0.664950811941402,,,0.36215266524751827,,,2.3859941679994403,,,,-0.8302102519809929,,,,,,,,,1.6330547636010704,,-1.403123555093456,,1.3057060501306328,-0.3999405117510598,-0.8783429804460907,,,-0.3496248197509947,1.0516839763696928,,0.04137258508805017,0.6155984845819283,,,0.7540634456112956,,,,,,,0.9452573397526207,-0.5808892492291802,,1.1050065677639196,,-0.9518618181489205,,-1.293276974233518,1.2662971799915788,-0.013390979154806113,,-0.5644641765232806,0.23527814416098095,,0.0738912204918453,0.3848190408757965,,-1.4729579626850131,,-0.4918282770610572,,,
2007-02-02,-1.6415662245585902,-1.0296556996127122,,,,-0.6668147619285449,,-1.214693761898313,,,0.17116895397955736,,,0.8122231743582969,0.7102806297552534,,,0.4885524597540197,,,2.3805067527979973,,,,-0.9098361564859611,,,,,,,,,1.6546331679123931,,-1.338322383817022,,1.1245314051828388,-0.27522363827322777,-0.9348352152572933,,,-0.1952621277427022,1.0718413026740365,,-0.010393415087865237,0.3999329903407793,,,0.7113691297581015,,,,,,,0.9248525414284676,-0.45641768339464933,,1.0506605666276918,,-1.1087559388040629,,-1.3224918830767494,1.2834931173832107,0.27937056876246164,,-0.451559947326059,-0.04974875969172427,,0.04180693411999481,0.44470901625256226,,-1.5354192066378105,,-0.40893590749437236,,,
2007-02-05,-1.7163197703846893,-1.0562207002136925,,,,-0.9066991356068332,,-1.5237517072163846,,,0.22660116390772253,,,0.789904609337837,0.7514355085213713,,,0.030393570248065625,,,2.6238873139984786,,,,-0.4771674301022719,,,,,,,,,1.2223044054617103,,-0.6029635710119234,,1.5853329901224573,-0.20215924482099276,-0.41920278453547105,,,-0.3772043234140355,0.901514199204607,,-0.27781336372050885,0.4089311024466483,,,0.5499295248063494,,,,,,,0.8590369570164821,-0.02199046467847688,,1.323260143767196,,-0.47184592474365766,,-1.2881060930711914,1.24476871497679,-0.08758845637463983,,-0.6146923327667256,-0.2170715859718898,,-0.25465080455912575,0.18403629057969187,,-1.9621106729533733,,-0.2237781282495217,,,
2007-02-06,-1.878076691335953,-1.1479799591259687,,,,-0.8903688767276512,,-1.9815871899445427,,,0.26648078170061174,,,0.582542917169999,0.9796725831723941,,,0.161262533666755,,,2.3815771789795694,,,,-0.05749125597262285,,,,,,,,,0.7884744005758019,,-0.7159344828533033,,1.317956888983515,-0.03354214158176108,-0.04052057246841487,,,0.10155658851670725,0.7682817192961723,,-0.1069597586318425,0.3826413170492285,,,0.681089956327125,,,,,,,0.8708504276728085,0.2842428277366621,,1.366337049175529,,-0.6712098474912823,,-1.3237010544577992,1.2978409476201394,-0.09827090495438633,,-0.57832981383946,-0.6745349805515324,,-0.3290718321254521,0.16051031877159927,,-1.9330575064095545,,0.06931843205690656,,,
2007-02-07,-1.9510646591721896,-1.2322485666448255,,,,-0.6903385697281619,,-2.13808192278197,,,0.29991054121423383,,,0.8920632851085293,0.9157434652373542,,,0.3588410960116191,,,2.1506359215981017,,,,-0.0707025588222715,,,,,,,,,0.6344167087166654,,-0.9540855069070076,,1.1336483088118536,0.3419239351212743,-0.04046826149646281,,,0.391119181540515,0.6256166210079206,,-0.431631573580938,0.38129091516842833,,,0.6677352080013724,,,,,,,0.8062565392938397,0.3942758418413527,,1.5374366072350845,,-0.8592965132025241,,-1.493487082188438,0.8028826934568075,-0.3366997309399359,,-0.6735305989805269,-0.24152527802539886,,-0.2151126305999512,0.21858034200219573,,-1.806601546547574,,0.5824977882510289,,,
2007-02-08,-1.7938827359995984,-1.6074566774700112,,,,-0.5142485482472533,,-1.9855687996573765,,,-0.7363555810092157,,,1.1132406653418676,0.8789862818018582,,,0.1821255452502301,,,1.9531074667212216,,,,-0.0784515556609849,,,,,,,,,0.6935686645448229,,-0.9159180665588926,,1.1775484267927094,0.29113120847566637,-0.02050963529185362,,,0.4114479794266625,0.9168003243051951,,-0.817340083358119,0.5495766405271517,,,0.6537893021307888,,,,,,,0.8456632536131784,0.5258429016556566,,1.5250221522902359,,-0.6747274633622768,,-1.5365999204070881,0.49498541501068194,-0.30863042103474353,,-0.7433928834056508,-0.02317755223200779,,-0.12436532448422283,0.4701806395061532,,-1.584059352807945,,0.7816677335931533,,,
2007-02-09,-1.695345626983419,-1.36093619182484,,,,-0.6232636997232828,,-2.204034315136491,,,-0.8053672448391601,,,0.6804094747226636,0.8360729726663139,,,-0.004937146330298526,,,1.9258979460385788,,,,0.3388087398948754,,,,,,,,,0.667573292075054,,-0.8942940965102192,,1.0350247994183654,0.35204055896133657,0.3315594870220154,,,0.3067433193705782,1.04934940565247,,-0.6500109114121092,0.5557608233220455,,,0.7830176725216094,,,,,,,0.9923767780519772,0.5945970024898046,,1.39389941256879,,-0.7150619713305231,,-1.6739361166626552,0.4247852673953063,-0.2232209201191819,,-0.7499043302875542,-0.151953406570875,,0.10110819856829777,0.4228085406965507,,-1.777343437939355,,0.7377757242333367,,,
2007-02-12,-1.821796418824434,-1.81414646177304,,,,-0.7838524235657677,,-2.1078677496271028,,,-0.7673484651343132,,,0.6814712461314961,0.5964567457486669,,,-0.007969306779329777,,,1.8423704065213684,,,,0.2639911509035064,,,,,,,,,0.6299592590667842,,-0.7075839733846815,,0.9668559516751327,0.43595865308151993,0.2735546159111996,,,0.3721693171071203,0.9596018664854399,,-0.5444335317881602,0.6113829121296782,,,0.6767241725976956,,,,,,,1.0629090988322767,0.7203106760507814,,1.5122951028070493,,-0.6942192039839777,,-1.563217463216585,0.4670378065569192,-0.41986878513116105,,-0.5568344057882225,0.008418087489745122,,0.24800057711906476,0.502847190168726,,-1.6942641470983117,,0.6510874997109164,,,
2007-02-13,-1.8339503736733067,-1.5146577864144308,,,,-0.5831780519197773,,-1.7747526495556218,,-1.064109346826932,-0.7620613698920049,,,0.7520553466871402,0.5453187403826056,,,-0.2434755648314466,,,1.941845080602358,,,,0.125383218570634,,,,,,,,,0.8266534870089377,,-0.7090264022261727,,1.0535684329919797,0.1292454164451997,0.20020780687466308,,,0.3094761022528079,1.2454563136496646,,-0.5235710748954795,1.0279413416254808,,,0.7782396821628687,,,,,,,1.2008599828815394,0.6366027737894844,,1.4865693033737277,,-0.33555419246943774,,-1.5209212221564061,0.33296613203193987,-0.5962820302671692,,-0.5573077215122325,-0.12490488247926272,,0.1601666813831994,0.3271327930757945,,-1.8185732211065677,,0.8826372544362285,,,
2007-02-14,-1.8810618112737176,-1.8181840866621062,,,,-0.6768141342306307,,-1.5315928123450098,,-0.9322003230620999,-0.9450406610179006,,,0.9186272268090573,0.4575523407191184,,,-0.4818384249095911,,,1.56005991354328,,,,0.4231351879820721,,,,,,,,,0.8079546137902591,,0.14034518694287648,,1.1012125633674426,0.046173076869625,0.47497900186549374,,,0.2844509099561759,1.386950044266941,,-0.8444905262502863,0.9405620098244393,,,0.44981246418799736,,,,,,,1.0400786958965569,0.5795909949110024,,1.3759874691268779,,0.44075603257388024,,-1.5582981803139975,-0.12018289315870022,-0.3809617349648426,,-0.6369852220162181,0.2684965168208694,,0.2165653512635432,0.18780204257087413,,-2.110341162057621,,0.8169003289743434,,,
2007-02-15,-1.8146293174201469,-1.9527141579039373,,,,-0.4602542675776024,,-0.9743021291797361,,-1.061602570249682,-0.9948093156487408,,,0.8428412395072034,0.41126508689132296,,,-0.4493923513700092,,,1.5839425738269284,,,,0.5596644858537118,,,,,,,,,0.680923293017982,,0.5016037706032243,,1.3412102767835719,0.13697241021228598,0.629176469086716,,,0.21781254863340763,1.3622808403997186,,-0.6516667250963593,1.1491557369372674,,,-0.20090561670711735,,,,,,,0.9969171855697662,0.36008252814392466,,0.9992556130906168,,1.01834299639358,,-1.8874787800672563,-0.12811724750386105,-0.7142901401349174,,-0.8562679834398942,0.3203441910396634,,0.5989301769682229,-0.23764961632663847,,-1.8286316446021305,,0.5019904402689155,,,
2007-02-16,-1.856039663977082,-1.6780135950207362,,,,-0.03234054224552075,,-1.0187623765062537,,-0.9623795390449442,-1.058074035992887,,,1.1254017314333025,-0.20849681219475766,,,-0.6924853690594218,,,1.5467058509543103,,,,0.7859865319633815,,,,,,,,,0.7125925452763235,,0.45316460725316643,,1.1163794262994249,0.10092156995721989,0.852893438310737,,,0.5622563818064427,0.7536257521492973,,-0.570829199007186,1.4206726592923684,,,-0.8170071713083928,,,,,,,0.7362531205101694,0.9491139140179788,,1.3462715159810932,,0.5150708004490152,,-1.72752150530605,0.003436716684866902,-0.991709722930056,,-0.8322353203292744,0.2583523007862547,,0.7612560470662059,-0.4690167625222053,,-1.6885733979120443,,0.6031301031652572,,,
2007-02-19,-1.838604379505328,-1.890933354485184,,,,0.07516226135496251,,-0.89369565178492,,-1.4009477593221327,-0.9734351241090843,,,1.2659251577416326,-0.22019275637000993,,,-0.7756242760677723,,,1.6038124100888642,,,,0.7135915605163463,,,,,,,,,0.8763424264833717,,0.39269659964195464,,0.9041493423773053,-0.064916086412893,0.8071651420694097,,,0.9253218653976641,0.6219876855070271,,-0.5732558470815197,1.3874523211288095,,,-0.7833567048953689,,,,,,,0.6702221628814123,0.7237789550823805,,1.2087216627808113,,0.7867231544666916,,-1.673084813574654,0.186246748668686,-0.5966203099741749,,-0.8754060057077903,0.4022679534904705,,0.6951167977290158,-0.6589932044113609,,-1.4815410125716755,,0.4539230788670504,,,
2007-02-20,-1.770046614457622,-1.841017989058816,,,,0.17821833436965515,,-0.9593633716423721,,-1.6734664581961862,-1.0186182378241568,,,1.2286045360372555,-0.22491902423506882,,,-0.8219407986385826,,,1.2586626396017848,,,,0.4036530995101305,,,,,,,,,0.7990074214896633,,-0.03941094951473365,,1.3180260456205408,0.0992251532928242,0.459365539323798,,,0.6848447783976653,0.3684953772832679,,-0.7430935477585647,1.183946975714141,,,-0.7297215998435712,,,,,,,0.28729512336287955,1.183063503435036,,1.2474305372866619,,0.7895441377293579,,-1.3893030575716088,0.7721293137649761,-0.3655240091681133,,-0.6845521968079359,0.20774054749880067,,1.1809254639896967,-0.5187430780768651,,-1.6881130963248117,,0.8176555014108681,,,
2007-02-21,-1.9226290329009899,-1.7440404442098125,,,,1.3954846885857435,,-1.002200924504952,,-1.5641482865056189,-1.8201471924881178,,,0.6947367504422057,-0.2982035595920474,,,-0.22743195054740553,,,1.3861398020871996,,,,0.48349463511504426,,,,,,,,,0.013221882237130153,,-0.2572276890904537,,0.6830755795021095,0.316375980807319,0.5076223341284454,,,0.4603907431261173,0.38719126486950484,,-0.9066699761834273,0.4051187570744366,,,-0.2603827405802209,,,,,,,0.45575599971830516,1.4821693033999763,,1.2829297047365624,,1.1038530372237434,,-1.1359062861718743,0.42363707460804956,-0.432544964018311,,-0.2898255188263546,0.1907180888923101,,1.1682382934930806,0.07387233215978782,,-1.8482783457443404,,0.795610659156851,,,
2007-02-22,-1.5135024039074645,-1.5543714928000576,,,,1.2928790121221263,,-0.6635360280059823,,-2.0072743857744126,-2.2089418782417214,,,0.7445169530050468,-0.28212726220063883,,,-0.526539280248961,,,1.512487132840201,,,,0.727962417242451,,,,,,,,,-0.040383219945913075,,-0.09578153620482865,,0.769822797006846,0.42223449939511154,0.783282299786608,,,0.5884834222732506,0.7544853905159414,,-0.7476770541908,0.5489182359345809,,,-0.1992279606847882,,,,,,,0.6400714776683848,0.8650925340537601,,0.5805093835244185,,0.8793794020990812,,-1.227531592241825,0.3751222268122653,-0.03831641391923971,,-0.16969737109994731,0.24338535505841452,,1.2243400550083838,-0.49356882189862245,,-1.9857624041188695,,0.8012665111372004,,,
2007-02-23,-1.3146791763206205,-1.4988280668036875,,,,1.3129489347998355,,-0.6050567047865204,,-2.077777342306513,-2.152426555582368,,,0.9649541278381107,-0.42323191587967474,,,-0.849709829813394,,,1.7446299186707057,,,,0.6866415052738107,,,,,,,,,0.4637232540471564,,0.08168275364061696,,0.43906703046441176,0.36356041750682927,0.7904735955659308,,,0.6218509050670552,0.5258755192413231,,-0.8371593543575783,0.7219077982963806,,,-0.36499370837348427,,,,,,,0.0943838246860377,1.0833643397603296,,0.8000639235558782,,1.3002839994363566,,-1.072096642449039,0.08896910111586738,-0.16459691752602643,,-0.16685383581145316,0.6114090186348422,,0.9397019811097707,-0.7457572802958475,,-1.676404820967965,,0.3140802025629248,,,
2007-02-26,-1.3792884800042966,-1.260804699954417,,,,1.5550402199321527,,-0.44895443479986075,,-2.3179419015001144,-1.968301557714722,,,0.779215685356896,-0.4879023391751981,,,-0.9716580106323988,,,1.4635508989179475,,,,0.617211421434046,,,,,,,,,0.5592712032350042,,-0.004188780707599822,,0.4581202545404308,0.22027362810809822,0.6970812707209583,,,0.7958907362989883,0.5331660365661204,,-1.6252505114911338,0.7076168321712588,,,-0.2711195659078321,,,,,,,0.5541797745911552,1.2572111942190234,,0.5109143523084393,,1.3375380361123772,,-1.0139412731113937,-0.026385112528283846,-0.22407657152101954,,-0.26176564084508797,0.897122112783027,,0.7292872808090943,-0.4502490488359755,,-1.2057268998660045,,0.24486389049031992,,,
2007-02-27,-0.772898823568253,-1.1453379554626744,,,,0.5490950325744113,,-0.41087994321026833,,-2.1688790139134455,-2.0062510685392096,,,0.1193833942866548,-0.35745595193075846,,,-1.315603874924548,,,1.303886970088896,,,,0.8437864593713986,,,,,,,,,0.4908812613229447,,0.046606478162135465,,1.4042865934292097,-0.12016816069449202,0.8679763363669526,,,0.6075322841383326,0.5739454714203733,,-1.936907558577183,0.6487234586719214,,,-0.3731908891819405,,,,,,,0.8439045204775807,1.8675295496916415,,0.33763684510056197,,1.723649064394442,,-0.6377083256223561,-0.22247647884024357,-0.22247647884024357,,-0.2934257550128564,0.5367356830013936,,0.4625954121904026,-0.6389604915644549,,-0.8697834591885137,,0.26424941438218874,,,
2007-02-28,-0.7616968070803393,-0.6922354035978122,,,,0.32112051869271846,,-0.28978940065498476,,-2.217570839146212,-1.7445646237232468,,,0.2452972515984141,-0.5520579085442607,,,-1.367026167839401,,,0.7154838315333664,,,,0.8963556322117235,,,,,,,,,0.6127606848331576,,0.48140746585908706,,0.7733899365733488,-0.19751195991194445,0.947052717964345,,,0.4618365037776529,0.41316499255665007,,-1.961049483843996,1.0247756333306899,,,-0.5051222227270294,,,,,,,1.311631567721674,1.4444279198271228,,0.14751088956732927,,2.4761870066379075,,-0.8672449002346747,-0.410080870757869,-0.06952373176941729,,-0.5944857234179656,0.6637731618082439,,0.3684350717069649,-0.7272783390821909,,-0.45906648578169296,,0.11169408191264188,,,
2007-03-01,-1.1695395553244132,-0.42562847256788816,,,,0.27322285220800235,,-0.418527964783669,,-2.052999634752664,-1.7742281996090634,,,0.29354069584491893,-0.6254552849541714,,,-1.6219813772398928,,,0.630703882240597,,,,0.8348254177789237,,,,,,,,,0.8104220123194894,,0.9433632307477972,,0.2414009271930354,-0.18102913075766408,0.8483741365011537,,,0.22738492724248924,0.22984921825180968,,-1.5724943398662463,0.8675698324814138,,,-0.3883926512426102,,,,,,,0.9519269620546522,1.5809187647311536,,0.3436549043275991,,2.7848008044871233,,-0.828809938973729,-0.3260400676886615,-0.48787195964180136,,-0.4788995513533856,0.6930316756473973,,0.3958051369307735,-0.7299368695627282,,-0.13407716133508546,,0.2651167786653439,,,
2007-03-02,-0.9034577942642917,-0.5685191192006589,,,,0.06887041991938392,,-0.3294130854542297,,-1.4844578212621153,-1.5964631874640807,,,0.16126069761591286,-0.8277066681211436,,,-1.4413709421119487,,,0.45798800362369096,,,,0.5539204440176357,,,,,,,,,0.7381396949083668,,0.9078997648621054,,0.23604507596565372,-0.19542225960011145,0.5682639921862781,,,0.432321362744149,0.41107014762831523,,-1.2671336633419725,0.8016940266002854,,,0.16800076922898757,,,,,,,1.2251226642780326,1.8707906017660143,,0.2258851088411272,,2.6462248859327437,,-0.9553275643796703,-0.2320553249047468,-0.7016188026441332,,-1.740461155987902,0.6358725788064096,,0.9395998095863635,-1.12532122191726,,-0.08952074339138982,,0.40927930553419795,,,
